name,company,role,twitter,linkedIn
"Simon Foucher","METAV.RS","Co-Founder & CEO","","https://www.linkedin.com/in/simonfoucher/"
"Kenneth Kou","Mercy Corps Ventures","Head of Venture Lab","",""
"Sergiu Biris","MultiverseX","Head of Product","","https://www.linkedin.com/in/sergiubiris/"
"Elise Soucie","Global Digital Finance","Director of Global Policy and Regulatory Affairs","","https://www.linkedin.com/in/elise-soucie-7ab243100/"
"Samantha Bohbot","RockawayX","Chief Growth Officer & Investor","","https://www.linkedin.com/in/samantha-bohbot-7622b933/"
"Katherine Snow","Messari","Head of Legal","","https://www.linkedin.com/in/katherine-snow/"
"Thierry Arys Ruiz","AgAu.io","Executive Chairman and CEO","https://twitter.com/thierryarys ","https://www.linkedin.com/in/joethierryarysruiz/"
"Sandra Ro","GBBC","CEO","","https://www.linkedin.com/in/sandraro/"
"Ali Erhat Nalbant","Arf","Co-Founder & CEO","","https://ch.linkedin.com/in/alierhat"
"Jean-Christophe Barat","Allfeat","Chief Executive Officer","","https://www.linkedin.com/in/jeanchristophe-barat/"
"Vivien Lin","Bing X","Chief Product Officer","https://twitter.com/Vivien_BingX","https://www.linkedin.com/in/vivien-lin-bingx/"
"Da Hongfei","Neo","Founder","https://twitter.com/dahongfei","https://www.linkedin.com/in/dahongfei/"
"Vincent Marty","Darewise Entertainment","Chief Strategy & Product Officer","","https://www.linkedin.com/in/vincemarty/"
"Frédéric de Vaulx","Prometheus Computing LLC","CEO","","https://www.linkedin.com/in/fredericdevaulx/"
"Joshua Siegel","Dfns","CPO","",""
"Giovanna Casimiro","Metaverse Fashion Week","Professor at Institut Français de La Mode; Head of MVFW","","https://www.linkedin.com/in/ggcasimiro/"
"Stefan Rust","Truflation","CEO","","https://www.linkedin.com/in/stefanrust/"
"Miguel Morel","Arkham","Co-Founder & CEO","","https://www.linkedin.com/in/miguel-morel"
"Nadège Martin","Norton Rose Fulbright LLP","Partner","",""
"Aymen Soufi","SunContract","Strategic Director","","Linkedin: https://www.linkedin.com/in/aymen-soufi-b9a19926/"
"Steven Haft","Ethereum Climate Platform","Co-Founder","https://twitter.com/haft11?lang=en","https://www.linkedin.com/in/stevenhaft/"
"Stefan Colins","Venly","Chief Marketing and Strategy Officer"," https://twitter.com/stefancolins"," https://www.linkedin.com/in/stefancolins/"
"Oliver Tonkin","BCB Group","CEO and Co-Founder","","https://www.linkedin.com/in/oliver-tonkin-87681a1/"
"Victor Busson","Taurus","Chief Marketing Officer","https://twitter.com/lamine_brahimi","https://www.linkedin.com/in/lamine-brahimi-cfa-393483/?originalSubdomain=ch"
"Michael Amar","v3ntures","Chairman of Paris Blockchain Week & General Partner at v3ntures","",""
"Silvina Moschini","Unicoin","Founder & Chairwoman","https://twitter.com/Miss_Internet","https://www.linkedin.com/in/smoschini/"
"Clément Tequi","Capsule Corps Labs","Co-Founder & Labs CEO","",""
"Joseph Collement","Bitcoin.com","General Counsel","","https://www.linkedin.com/in/joseph-collement/"
"Or Dadosh","Ironblocks","Co-Founder","","https://www.linkedin.com/in/ordadosh/"
"Alexis Johnson","Light Node Ventures","Co-Founder & CEO","","https://www.linkedin.com/in/alexisjohnson92/"
"Mariana de la Roche","Validvent","Director","","https://www.linkedin.com/in/mariana-de-la-roche-410ba3130/"
"Dino Cataldo Dell’Accio","United Nations Joint Staff Pension Fund","Chief Information Officer","","https://www.linkedin.com/in/dinodellaccio/"
"Ralf Kubli","Casper Association","Board Member","","https://www.linkedin.com/in/ralf-kubli-644393/"
"Ilan Nabeth","Playmakers","CEO","","https://www.linkedin.com/in/ilan-nabeth-%F0%9F%94%9C-gdc-791600146/"
"Leora Schreiber","MarketAcross","Senior Account Manager","",""
"David Nandwa","HoneyCoin","Founder","",""
"Kyle Chassé","Master Ventures","Founder & CEO","","https://www.linkedin.com/in/kylechasse/"
"Omer Sadika","dWallet","Co-Founder","",""
"Rick Martin","Decaf","Co-Founder","",""
"Patrick Martin","EM FO & Alpha Sigma Capital","Managing Partner",""," https://www.linkedin.com/in/patrickmartin4"
